"id",name,latitud,longitud
1,Usaquén,4.719722,-74.036667
2,Chapinero,4.645833,-74.063333
3,Santa Fe,4.613889,-74.078611
4,San Cristóbal,4.564722,-74.083333
5,Usme,4.476389,-74.152222
6,Tunjuelito,4.582222,-74.131944
7,Bosa,4.6256415,-74.1876155
8,Kennedy,4.643611,-74.153333
9,Fontibón,4.678611,-74.141111
10,Engativá,4.726111,-74.1
11,Suba,4.741,-74.084
12,Barrios Unidos,4.678611,-74.078611
13,Teusaquillo,4.670556,-74.093056
14,Los Mártires,4.604444,-74.09
15,Antonio Nariño,4.591655,-74.106505
16,Puente Aranda,4.6125,-74.106667
17,La Candelaria,4.591722,-74.074131
18,Rafael Uribe Uribe,4.579722,-74.1175
19,Ciudad Bolívar,4.536111,-74.138889
20,Sumapaz,4.42,-74.148333
