id,label,type,path
bogota,Objetivos Bogotá,objetivos,data/clean/objetivos/bogota/objetivos-bogota-localidades.csv
comparada,Objetivos Comparada,objetivos,data/clean/objetivos/comparada/objetivos-comparada.csv
barranquilla,Subjetivos Barranquilla,subjetivos,data/clean/subjetivos/subjetivos-barranquilla.csv
bogota,Subjetivos Bogotá,subjetivos,data/clean/subjetivos/subjetivos-bogota.csv
bucaramanga,Subjetivos Bucaramanga,subjetivos,data/clean/subjetivos/subjetivos-bucaramanga.csv
cali,Subjetivos Cali,subjetivos,data/clean/subjetivos/subjetivos-cali.csv
cartagena,Subjetivos Cartagena,subjetivos,data/clean/subjetivos/subjetivos-cartagena.csv
comparada,Subjetivos Comparada,subjetivos,data/clean/subjetivos/subjetivos-comparada.csv
cucuta,Subjetivos Cucuta,subjetivos,data/clean/subjetivos/subjetivos-cucuta.csv
ibague,Subjetivos Ibagué,subjetivos,data/clean/subjetivos/subjetivos-ibague.csv
manizales,Subjetivos Manizales,subjetivos,data/clean/subjetivos/subjetivos-manizales.csv
medellin,Subjetivos Medellín,subjetivos,data/clean/subjetivos/subjetivos-medellin.csv
pereira,Subjetivos Pereira,subjetivos,data/clean/subjetivos/subjetivos-pereira.csv
valledupar,Subjetivos Valledupar,subjetivos,data/clean/subjetivos/subjetivos-valledupar.csv
yumbo,Subjetivos Yumbo,subjetivos,data/clean/subjetivos/subjetivos-yumbo.csv
objetivo1,Objetivo 1,ods,data/clean/ods/objetivo1.csv
objetivo2,Objetivo 2,ods,data/clean/ods/objetivo2.csv
objetivo3,Objetivo 3,ods,data/clean/ods/objetivo3.csv
objetivo4,Objetivo 4,ods,data/clean/ods/objetivo4.csv
objetivo5,Objetivo 5,ods,data/clean/ods/objetivo5.csv
objetivo6,Objetivo 6,ods,data/clean/ods/objetivo6.csv
objetivo7,Objetivo 7,ods,data/clean/ods/objetivo7.csv
objetivo8,Objetivo 8,ods,data/clean/ods/objetivo8.csv
objetivo9,Objetivo 9,ods,data/clean/ods/objetivo9.csv
objetivo10,Objetivo 10,ods,data/clean/ods/objetivo10.csv
objetivo11,Objetivo 11,ods,data/clean/ods/objetivo11.csv
objetivo13,Objetivo 13,ods,data/clean/ods/objetivo13.csv
objetivo16,Objetivo 16,ods,data/clean/ods/objetivo16.csv
objetivo17,Objetivo 17,ods,data/clean/ods/objetivo17.csv
