Ciudad,Territorio,Anio,v1_d_001,v1_d_002,v4_e_001,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_008,v4_e_009,v4_e_010,v4_e_011,v4_e_012
Barranquilla,Total Barranquilla,2011,1193667,1.00,NA,0.48,1.16,0.95,0.61,NA,0.03,NA,NA,NA,NA,0.07
Barranquilla,Total Barranquilla,2012,1200513,1.00,NA,0.53,0.99,0.88,0.55,NA,0.03,0.25,0.38,0.20,0.43,0.12
Barranquilla,Total Barranquilla,2013,1206946,1.00,NA,0.55,0.88,0.82,0.51,NA,0.03,0.29,0.40,0.26,0.45,0.12
Barranquilla,Total Barranquilla,2014,1212943,1.00,NA,0.55,0.84,0.81,0.50,NA,0.03,0.28,0.28,0.26,0.43,NA
Barranquilla,Total Barranquilla,2015,1218475,1.00,NA,0.61,0.89,0.84,0.53,NA,0.01,0.25,0.42,0.27,0.41,0.13
Bogotá,Total Bogotá,2011,7467804,1.00,0.55,0.78,0.94,0.89,0.58,NA,0.04,NA,NA,NA,NA,0.07
Bogotá,Total Bogotá,2012,7571345,1.00,NA,0.82,0.89,0.91,0.65,NA,0.04,0.46,0.61,0.42,0.64,0.14
Bogotá,Total Bogotá,2013,7674366,1.00,NA,0.81,0.89,0.92,0.67,NA,0.04,0.49,0.61,0.40,0.59,0.14
Bogotá,Total Bogotá,2014,7776845,1.00,NA,0.79,0.88,0.93,0.71,0.97,0.03,0.41,0.53,0.39,0.55,0.13
Bogotá,Total Bogotá,2015,7878783,1.00,NA,NA,NA,NA,NA,0.96,0.03,0.49,0.57,0.36,0.55,0.15
Bucaramanga,Total Bucaramanga Metropolitana,2011,1084699,0.94,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,0.06
Bucaramanga,Total Bucaramanga Metropolitana,2012,1094390,0.94,NA,NA,NA,NA,NA,NA,0.04,0.52,0.62,0.52,0.68,0.10
Bucaramanga,Total Bucaramanga Metropolitana,2013,1103989,0.94,NA,NA,NA,NA,NA,NA,0.03,0.54,0.62,0.48,0.62,0.11
Bucaramanga,Total Bucaramanga Metropolitana,2014,1113522,0.94,NA,NA,0.98,0.85,0.53,NA,0.02,0.48,0.46,0.36,0.61,NA
Bucaramanga,Total Bucaramanga Metropolitana,2015,1122945,0.94,NA,NA,NA,NA,NA,NA,0.03,0.55,0.58,0.45,0.61,0.16
Cali,Total Cali,2011,2269653,0.98,NA,0.90,0.95,0.85,0.61,0.79,0.02,NA,NA,NA,NA,0.08
Cali,Total Cali,2012,2294653,0.98,0.17,0.78,0.86,0.77,0.59,0.74,0.02,0.33,0.48,0.25,0.48,0.10
Cali,Total Cali,2013,2319684,0.98,0.25,0.75,0.87,0.78,0.59,NA,0.03,0.36,0.47,0.23,0.43,0.10
Cali,Total Cali,2014,2344734,0.98,NA,NA,0.93,0.83,0.60,NA,0.02,0.31,0.44,0.23,0.41,NA
Cali,Total Cali,2015,2369821,0.98,NA,NA,NA,NA,NA,NA,0.05,0.36,0.48,0.22,0.41,0.11
Cartagena,Total Cartagena,2011,955709,0.95,0.66,0.66,0.94,0.77,0.51,NA,0.03,NA,NA,NA,NA,0.03
Cartagena,Total Cartagena,2012,967103,0.95,0.68,0.68,0.91,0.79,0.48,NA,0.05,0.23,0.33,0.19,0.38,0.06
Cartagena,Total Cartagena,2013,978600,0.96,0.67,0.67,0.91,0.79,0.48,NA,0.03,0.24,0.34,0.18,0.33,0.06
Cartagena,Total Cartagena,2014,990179,0.96,NA,0.69,0.93,0.82,0.47,NA,0.03,0.25,0.34,0.17,0.30,NA
Cartagena,Total Cartagena,2015,1001755,0.96,NA,0.67,0.94,0.80,0.48,NA,0.03,0.27,0.33,0.17,0.29,0.08
Medellín,Total Medellín,2011,2368282,0.99,0.76,0.92,1.03,0.92,0.60,1.06,0.04,NA,NA,NA,NA,0.05
Medellín,Total Medellín,2012,2393011,0.99,0.83,0.94,1.06,0.92,0.59,1.08,0.03,0.32,0.45,0.29,0.54,0.10
Medellín,Total Medellín,2013,2417325,0.99,0.80,0.87,1.05,0.93,0.59,1.08,0.03,0.30,0.45,0.28,0.48,0.10
Medellín,Total Medellín,2014,2441123,0.99,0.65,0.86,1.04,0.92,0.57,1.06,0.02,0.26,0.41,0.28,0.48,NA
Medellín,Total Medellín,2015,2464322,0.99,0.74,0.82,1.03,0.92,0.57,1.06,0.03,0.32,0.41,0.25,0.49,0.11
Ibagué,Total Ibagué,2011,532020,0.94,0.09,0.61,0.82,0.73,0.45,0.86,0.03,NA,NA,NA,NA,0.02
Ibagué,Total Ibagué,2012,537467,0.94,0.11,0.65,0.79,0.72,0.43,0.83,0.04,0.41,0.51,0.33,0.56,0.07
Ibagué,Total Ibagué,2013,542876,0.94,0.12,0.64,0.80,0.73,0.43,0.84,0.03,0.44,0.51,0.32,0.51,0.06
Ibagué,Total Ibagué,2014,548209,0.94,NA,0.61,0.82,0.74,0.44,0.71,0.02,0.41,0.48,0.32,0.48,NA
Ibagué,Total Ibagué,2015,553524,0.95,NA,0.45,0.76,0.66,0.40,0.64,0.03,0.42,0.48,0.30,0.48,0.08
Manizales,Total Manizales,2011,390084,0.93,NA,0.82,0.85,0.81,0.70,0.92,0.02,NA,NA,NA,NA,0.06
Manizales,Total Manizales,2012,391640,0.93,NA,0.87,0.81,0.73,0.58,0.85,0.05,0.43,0.58,0.30,0.53,0.10
Manizales,Total Manizales,2013,393167,0.93,0.65,0.77,0.79,0.64,0.58,0.87,0.03,0.48,0.61,0.30,0.51,0.10
Manizales,Total Manizales,2014,394627,0.93,NA,NA,0.79,0.63,0.55,NA,0.03,0.41,0.56,0.31,0.50,0.11
Manizales,Total Manizales,2015,396075,0.93,NA,NA,0.76,0.63,0.52,NA,0.03,0.45,0.50,0.28,0.52,0.11
Pereira,Total Pereira,2011,459667,0.84,0.23,0.75,1.00,0.88,0.52,1.07,0.05,NA,NA,NA,NA,0.05
Pereira,Total Pereira,2012,462209,0.84,0.19,0.70,0.97,0.85,0.51,1.02,0.05,0.40,0.53,0.33,0.56,0.09
Pereira,Total Pereira,2013,464719,0.84,0.23,0.62,0.91,0.83,0.49,0.98,0.05,0.39,0.53,0.28,0.48,0.09
Pereira,Total Pereira,2014,467185,0.84,0.20,0.57,0.89,0.85,0.47,0.86,0.05,0.03,0.50,0.33,0.50,NA
Pereira,Total Pereira,2015,469612,0.84,0.21,0.61,0.89,0.85,0.51,0.93,0.05,0.44,0.51,0.28,0.51,0.11
Valledupar,Total Valledupar,2011,413341,0.85,0.06,0.58,0.87,0.68,0.40,0.91,0.03,NA,NA,NA,NA,0.03
Valledupar,Total Valledupar,2012,423278,0.85,0.06,0.55,0.87,0.70,0.38,0.91,0.04,0.25,0.35,0.16,0.38,0.06
Valledupar,Total Valledupar,2013,433242,0.85,0.06,0.50,0.81,0.70,0.39,0.91,0.03,0.29,0.38,0.19,0.36,0.05
Valledupar,Total Valledupar,2014,443210,0.85,NA,NA,NA,NA,NA,NA,0.07,0.27,0.36,0.19,0.34,NA
Valledupar,Total Valledupar,2015,453215,0.85,NA,NA,NA,NA,NA,NA,0.04,0.33,0.37,0.19,0.32,0.07
Yumbo,Total Yumbo,2011,106559,0.88,NA,NA,NA,NA,NA,NA,0.04,NA,NA,NA,NA,0.02
Yumbo,Total Yumbo,2012,109131,0.88,0.07,0.45,0.91,0.79,0.41,NA,0.03,0.25,0.38,0.18,0.43,0.03
Yumbo,Total Yumbo,2013,111753,0.88,0.04,0.37,0.83,0.77,0.36,0.96,0.02,0.29,0.40,0.16,0.34,0.01
Yumbo,Total Yumbo,2014,114427,0.88,NA,NA,0.81,0.78,0.54,NA,0.02,0.26,0.42,0.21,0.37,NA
Yumbo,Total Yumbo,2015,117156,0.88,NA,NA,NA,NA,NA,NA,0.02,0.27,0.36,0.14,0.37,0.03
