id,withDic,label,group,groupLabel,viz_types,description
objetivos/objetivos-comparada,TRUE,Objetivos Comparada,objetivos,Datos Objetivos,multiple_cat,
objetivos/objetivos-bogota,TRUE,Objetivos Bogotá,objetivos,Datos Objetivos,single_cat,
objetivos/objetivos-ibague,TRUE,Objetivos Ibagué,objetivos,Datos Objetivos,single_cat,
objetivos/objetivos-manizales,TRUE,Objetivos Manizales,objetivos,Datos Objetivos,single_cat,
objetivos/objetivos-yumbo,TRUE,Objetivos Yumbo,objetivos,Datos Objetivos,single_cat,
,TRUE,Subjetivos Comparada,subjetivos,Datos Subjetivos,multiple_cat,
,TRUE,Subjetivos Barranquilla,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Bogotá,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Bucaramanga,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Cali,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Cartagena,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Cucuta,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Ibagué,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Manizales,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Medellín,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Pereira,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Valledupar,subjetivos,Datos Subjetivos,single_cat,
,TRUE,Subjetivos Yumbo,subjetivos,Datos Subjetivos,single_cat,
ips/ips-interciudades-resultados,TRUE,Interciudades,ips,Índice de Progreso Social,multiple_cat,
ods/objetivos,FALSE,Objetivos de Desarrollo Sostenible,ods,Objetivos de Desarrollo Sostenible,ods_table,
,TRUE,Objetivo 1,ods,,ods_table,
,TRUE,Objetivo 2,ods,,ods_table,
,TRUE,Objetivo 3,ods,,ods_table,
,TRUE,Objetivo 4,ods,,ods_table,
,TRUE,Objetivo 5,ods,,ods_table,
,TRUE,Objetivo 6,ods,,ods_table,
,TRUE,Objetivo 7,ods,,ods_table,
,TRUE,Objetivo 8,ods,,ods_table,
,TRUE,Objetivo 9,ods,,ods_table,
,TRUE,Objetivo 10,ods,,ods_table,
,TRUE,Objetivo 11,ods,,ods_table,
,TRUE,Objetivo 13,ods,,ods_table,
,TRUE,Objetivo 16,ods,,ods_table,
,TRUE,Objetivo 17,ods,,ods_table,
