Número,Título,Descripción
1,Fin de la pobreza,"Erradicar la pobreza en todas sus formas en todo el mundo"
2,Hambre cero,"Poner fin al hambre, conseguir la seguridad alimentaria y una mejor nutrición, y promover la agricultura sostenible"
3,Salud y Bienestar,"Garantizar una vida saludable y promover el bienestar para todos para todas las edades"
4,Educación de calidad,"Garantizar una educación de calidad inclusiva y equitativa, y promover las oportunidades de aprendizaje permanente para todos"
5,Igualdad de Género,"Alcanzar la igualdad entre los géneros y empoderar a todas las mujeres y niñas"
6,Agua limpia y saneamiento,"Garantizar la disponibilidad y la gestión sostenible del agua y el saneamiento para todos"
7,Energía asequible y no contaminante,"Asegurar el acceso a energías asequibles, fiables, sostenibles y modernas para todos"
8,Trabajo decente y crecimiento económica,"Fomentar el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo, y el trabajo decente para todos"
9,"Industria, innovación e infraestructura","Desarrollar infraestructuras resilientes, promover la industrialización inclusiva y sostenible, y fomentar la innovación"
10,Reducción de desigualdades,"Reducir las desigualdades entre países y dentro de ellos"
11,Ciudades y comunidades armoniosas,"Conseguir que las ciudades y los asentamientos humanos sean inclusivos, seguros, resilientes y sostenibles"
12,Producción y consumo responsables,"Garantizar las pautas de consumo y de producción sostenibles (Ningun dato disponible)"
13,Acción por el clima,"Tomar medidas urgentes para combatir el cambio climático y sus efectos (tomando nota de los acuerdos adoptados en el foro de la Convención Marco de las Naciones Unidas sobre el Cambio Climático)"
14,Vida submarina,""
15,Vida de ecosistemas terrestres,""
16,"Paz, justicia e instituciones sólidas","Promover sociedades pacíficas e inclusivas para el desarrollo sostenible, facilitar acceso a la justicia para todos y crear instituciones eficaces, responsables e inclusivas a todos los niveles"
17,Alianzas para lograr los objetivos,"Fortalecer los medios de ejecución y reavivar la alianza mundial para el desarrollo sostenible"
